Location,latitude,longitude
Sydney,-33.861481,151.205475
South Melbourne,-37.833333,144.966667
Brisbane,-27.47101,153.024292
Perth,-31.95224,115.861397
Adelaide,-34.928661,138.598633
Newcastle,-32.927792,151.784485
Gold Coast,-28.00029,153.430878
Cranbourne,-38.1,145.283333
Canberra,-35.27603,149.13435
Wollongong,-34.424,150.893448
Geelong,-38.153461,144.358093
Cairns,-16.92304,145.766251
Townsville,-19.26639,146.805695
Albury,-36.074823,146.924006
Nowra,-34.88422,150.600357
Darwin,-12.45722,130.836639
Toowoomba,-27.56056,151.953857
Ballarat,-37.56266,143.862579
Bendigo,-36.758179,144.280243
Hobart,-42.883209,147.331665
North Mackay,-21.116667,149.183333
Mandurah,-32.526901,115.721703
Launceston,-41.438759,147.134674
Rockhampton,-23.38032,150.505951
Coffs Harbour,-30.296261,153.11351
Wagga Wagga,-35.125771,147.353745
Bundaberg,-24.866211,152.3479
Port Macquarie,-31.43084,152.908936
Mildura,-34.185509,142.162506
Taree,-31.91099,152.453873
Orange,-33.283089,149.100006
Caloundra,-26.797091,153.137711
West Tamworth,-31.10625,150.909356
Kalgoorlie,-30.743762,121.465902
Shepparton,-36.38047,145.398666
Mount Isa,-20.725229,139.497269
Tweed Heads,-28.17561,153.542007
Queanbeyan,-35.354931,149.231995
Melton,-37.683392,144.585434
Dubbo,-32.24295,148.604843
Caboolture,-27.08465,152.951096
North Lismore,-28.8,153.283333
Gladstone,-23.84761,151.256348
Warrnambool,-38.38176,142.487991
Sunbury,-37.577419,144.726074
Alice Springs,-23.697479,133.883621
Geraldton,-28.778971,114.614594
Bunbury,-33.32711,115.641373
Albany,-35.003101,117.865952
Hervey Bay,-25.29052,152.873764
Mount Gambier,-37.831799,140.77919
Armidale,-30.50828,151.671234
Whyalla,-33.032681,137.564835
Sale,-38.11095,147.068024
Katoomba,-33.713032,150.311737
Goulburn,-34.751549,149.720856
Maryborough,-25.54073,152.704926
Kwinana,-32.230129,115.781281
Burnie,-41.05584,145.903748
Echuca,-36.140572,144.751846
Devonport,-41.176949,146.351517
Roebourne,-20.772289,117.146477
East Maitland,-32.75,151.583333
Traralgon,-38.195278,146.541504
Murray Bridge,-35.119862,139.273453
Forster,-32.181358,152.517151
Broken Hill,-31.9652,141.451202
Karratha,-20.738951,116.842949
Gawler,-34.602509,138.749023
Griffith,-34.288528,146.050934
Kingston Beach,-42.983333,147.316667
Port Hedland,-20.312149,118.610588
Ballina,-28.86414,153.565414
Wangaratta,-36.358459,146.320557
Port Augusta West,-32.483333,137.75
Richmond North,-33.581169,150.719421
Singleton,-32.567421,151.166031
Bongaree,-27.08367,153.159424
Port Lincoln,-34.72625,135.87442
Broome,-17.955379,122.23922
Horsham,-36.711311,142.199814
Port Pirie,-33.191761,138.017456
Warwick,-28.219009,152.034378
Kempsey,-31.078979,152.830933
Portland,-38.352612,141.605743
Gympie South,-26.211519,152.64769
Muswellbrook,-32.261181,150.890091
Parkes,-33.137199,148.175903
Lithgow,-33.482471,150.136307
Bairnsdale East,-37.830789,147.651752
Bowen,-20.01367,148.247543
Yeppoon,-23.126829,150.744064
Batemans Bay,-35.706581,150.175415
Kiama,-34.668282,150.852188
Busselton,-33.652489,115.345497
Innisfail,-17.522091,146.031021
Katherine,-14.46517,132.263474
Moranbah,-21.99828,148.034836
South Grafton,-29.7,152.95
Dalby,-27.18169,151.262054
Charters Towers,-20.07671,146.263535
Emerald,-23.522961,148.157837
Swan Hill,-35.3383,143.552652
Ulladulla,-35.359058,150.472473
Colac,-38.339001,143.584885
Ayr,-19.573931,147.406662
Hamilton,-37.74334,142.028915
Kingaroy,-26.53994,151.837296
Inverell,-29.774031,151.111664
Moree,-29.46278,149.841568
Deniliquin,-35.532447,144.953643
Esperance,-33.86013,121.882591
Victor Harbor,-35.550419,138.621536
Young,-34.313499,148.301071
Carnarvon,-24.88073,113.659401
Leeton,-34.551048,146.404831
Gunnedah,-30.98065,150.258377
Narrabri West,-30.333333,149.75
Maryborough,-37.04562,143.739227
Stawell,-37.05632,142.780884
Atherton,-17.268641,145.47522
Cowra,-33.835541,148.696625
Byron Bay,-28.64201,153.611938
Tumut,-35.300159,148.225052
Cooma,-36.234692,149.125977
Pambula,-36.930099,149.874496
Biloela,-24.395895,150.515043
South Ingham,-18.65,146.166667
Bathurst,-33.417358,149.581284
Ararat,-37.285419,142.927277
Wonthaggi,-38.605862,145.593552
Northam,-31.649321,116.674232
Kununurra,-15.77813,128.744141
Roma,-26.56741,148.787506
Mudgee,-32.59948,149.587067
Newman,-23.394506,119.729637
McMinns Lagoon,-12.55397,131.111649
Forbes,-33.384361,148.007599
Berri,-34.281071,140.599579
Cobram,-35.920689,145.640656
Scone,-32.05014,150.868927
Goondiwindi,-28.5464,150.307297
Manjimup,-34.241219,116.145638
Narrogin,-32.932819,117.177628
Smithton,-40.845868,145.124975
Proserpine,-20.4011,148.5802
Katanning,-33.68787,117.558403
Seymour,-37.02655,145.139236
Clare,-33.833248,138.610641
Central Coast,-33.42979,151.371445
Port Douglas,-16.483829,145.467255
Longreach,-23.44212,144.249207
Weipa,-12.62346,141.87883
Wallaroo,-33.938808,137.633652
Tom Price,-22.69408,117.787651
Merredin,-31.48094,118.274483
Bordertown,-36.307678,140.771667
Bourke,-30.09008,145.945435
North Scottsdale,-41.121545,147.559519
Queenstown,-42.080502,145.556458
Charleville,-26.40542,146.242737
Yamba,-29.43545,153.360306
Tumby Bay,-34.375061,136.103333
Mount Barker,-34.63084,117.666061
Peterborough,-32.97205,138.840729
Wagin,-33.308941,117.343277
Ceduna,-32.121559,133.678665
Kalbarri,-27.710501,114.165047
Penola,-37.375198,140.836777
Meningie,-35.688412,139.338562
Gingin,-31.347219,115.90432
Ouyen,-35.070869,142.320343
Port Denison,-29.283333,114.916667
Halls Creek,-18.22485,127.666473
Cloncurry,-20.70718,140.513031
Oatlands,-42.30302,147.367233
Winton,-22.381849,143.042404
Ravensthorpe,-33.583031,120.046883
Exmouth,-21.940201,114.125008
Barcaldine,-23.55353,145.285416
Streaky Bay,-32.79924,134.211594
Norseman,-32.197689,121.778732
Yulara,-25.245291,130.980545
Georgetown,-18.29199,143.545837
Pannawonica,-21.639179,116.322227
Pine Creek,-13.82077,131.832947
Meekatharra,-26.59524,118.493927
Kimba,-33.14164,136.418747
Boulia,-22.91139,139.909348
Onslow,-21.636869,115.111687
Quilpie,-26.61348,144.269485
Cowell,-33.68227,136.921173
Andamooka,-30.44972,137.163651
Eidsvold,-25.370609,151.122589
Woomera,-31.19981,136.832581
Wilcannia,-31.56031,143.377045
Mount Magnet,-28.064791,117.849037
Hughenden,-20.84399,144.200348
Laverton,-28.625311,122.399399
Richmond,-20.73243,143.143555
Birdsville,-25.898001,139.351726
Ivanhoe,-32.900379,144.301498
Morawa,-29.21343,116.007912
Theodore,-24.94743,150.075287
Adelaide River,-13.23943,131.10733
Leonora,-28.88509,121.330742
Kingston South East,-36.83073,139.852203
Thargomindah,-27.99498,143.823914
Burketown,-17.741051,139.547745
Three Springs,-29.533609,115.760529
Southern Cross,-31.22677,119.323761
Camooweal,-19.921539,138.120132
Bicheno,-41.884764,148.301446
Karumba,-17.488819,140.838196
Windorah,-25.42224,142.656597
Bedourie,-24.3637,139.465277
Kingoonya,-30.9,135.3
Melbourne,-37.813938,144.963425
Currie,-39.929759,143.853847
